Comando,Posicao,Direcao,Sensor Esquerdo,Sensor Frente,Sensor Direito,Compartimento
LIGAR,"(0, 1)",2,PAREDE,PAREDE,VAZIO,PAREDE,SEM CARGA
INFO,"(0, 1)",2,Iniciando busca pelo humano,SEM CARGA
A,"(1, 1)",2,VAZIO,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",3,VAZIO,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",0,VAZIO,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",1,VAZIO,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(1, 2)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(1, 3)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(1, 4)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(1, 5)",1,PAREDE,PAREDE,VAZIO,VAZIO,SEM CARGA
G,"(1, 5)",2,PAREDE,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(2, 5)",2,VAZIO,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 5)",2,VAZIO,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(4, 5)",2,VAZIO,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(5, 5)",2,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
G,"(5, 5)",3,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
G,"(5, 5)",0,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
G,"(5, 5)",1,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(5, 6)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(5, 7)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(5, 8)",1,PAREDE,HUMANO,PAREDE,VAZIO,SEM CARGA
INFO,"(5, 8)",1,"Humano encontrado, iniciando coleta",SEM CARGA
P,"(5, 8)",1,PAREDE,VAZIO,PAREDE,VAZIO,COM HUMANO
INFO,"(5, 8)",1,Humano coletado,COM HUMANO
INFO,"(5, 8)",1,"Humano coletado, retornando a saida",COM HUMANO
ERRO,"(5, 8)",1,'RoboResgate' object has no attribute 'retornar_saida',"Traceback (most recent call last):
  File ""C:\Users\Victus\Desktop\Segundo Semestre 2024\Serviços Cognitivos\new_ads1\robo_resgate.py"", line 40, in executar_resgate
    self.retornar_saida()
    ^^^^^^^^^^^^^^^^^^^
AttributeError: 'RoboResgate' object has no attribute 'retornar_saida'
",SEM CARGA
ERRO_FATAL,"(5, 8)",1,'RoboResgate' object has no attribute 'retornar_saida',"Traceback (most recent call last):
  File ""C:\Users\Victus\Desktop\Segundo Semestre 2024\Serviços Cognitivos\new_ads1\main.py"", line 24, in main
    robo.executar_resgate()
  File ""C:\Users\Victus\Desktop\Segundo Semestre 2024\Serviços Cognitivos\new_ads1\robo_resgate.py"", line 40, in executar_resgate
    self.retornar_saida()
    ^^^^^^^^^^^^^^^^^^^
AttributeError: 'RoboResgate' object has no attribute 'retornar_saida'
",SEM CARGA
