Comando,Posição,Direção,Sensor Esquerdo,Sensor Frente,Sensor Direito,Compartimento
LIGAR,"(0, 7)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
INFO,"(0, 7)",2,Iniciando busca pelo humano,SEM CARGA
INFO,"(0, 7)",2,"Iniciando execução do caminho: [(0, 7), (1, 7), (2, 7), (3, 7), (3, 6), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (2, 3), (3, 3), (3, 2), (3, 1), (4, 1), (5, 1)]",SEM CARGA
A,"(1, 7)",2,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(2, 7)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 7)",2,PAREDE,PAREDE,VAZIO,SEM CARGA
G,"(3, 7)",3,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(3, 6)",3,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 5)",3,PAREDE,PAREDE,VAZIO,SEM CARGA
G,"(3, 5)",0,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(2, 5)",0,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(1, 5)",0,VAZIO,PAREDE,PAREDE,SEM CARGA
G,"(1, 5)",1,PAREDE,PAREDE,VAZIO,SEM CARGA
G,"(1, 5)",2,PAREDE,VAZIO,VAZIO,SEM CARGA
G,"(1, 5)",3,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(1, 4)",3,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(1, 3)",3,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 3)",0,VAZIO,PAREDE,VAZIO,SEM CARGA
G,"(1, 3)",1,PAREDE,VAZIO,VAZIO,SEM CARGA
G,"(1, 3)",2,VAZIO,VAZIO,VAZIO,SEM CARGA
A,"(2, 3)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 3)",2,PAREDE,PAREDE,VAZIO,SEM CARGA
G,"(3, 3)",3,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(3, 2)",3,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 1)",3,VAZIO,PAREDE,PAREDE,SEM CARGA
G,"(3, 1)",0,PAREDE,PAREDE,VAZIO,SEM CARGA
G,"(3, 1)",1,PAREDE,VAZIO,VAZIO,SEM CARGA
G,"(3, 1)",2,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(4, 1)",2,PAREDE,HUMANO,PAREDE,SEM CARGA
A,"(5, 1)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
INFO,"(5, 1)",2,"Humano encontrado, iniciando coleta",SEM CARGA
INFO,"(5, 1)",2,"Iniciando execução do caminho: [(0, 7), (1, 7), (2, 7), (3, 7), (3, 6), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (2, 3), (3, 3), (3, 2), (3, 1), (4, 1), (5, 1)]",SEM CARGA
A,"(6, 1)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(7, 1)",2,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(8, 1)",2,PAREDE,VAZIO,PAREDE,SEM CARGA
G,"(8, 1)",3,VAZIO,PAREDE,VAZIO,SEM CARGA
ERRO,"(8, 1)",3,"Erro ao executar comando A: Colisao com parede! Tentativa de mover de (8, 1) para (8, 0)",SEM CARGA
