Comando,Posicao,Direcao,Sensor Esquerdo,Sensor Frente,Sensor Direito,Compartimento
LIGAR,"(0, 3)",2,PAREDE,PAREDE,VAZIO,PAREDE,SEM CARGA
INFO,"(0, 3)",2,Iniciando busca pelo humano,SEM CARGA
A,"(1, 3)",2,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
G,"(1, 3)",3,VAZIO,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(1, 2)",3,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(1, 1)",3,PAREDE,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",0,PAREDE,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",1,PAREDE,VAZIO,VAZIO,PAREDE,SEM CARGA
G,"(1, 1)",2,PAREDE,VAZIO,VAZIO,PAREDE,SEM CARGA
A,"(2, 1)",2,VAZIO,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(3, 1)",2,VAZIO,VAZIO,PAREDE,PAREDE,SEM CARGA
G,"(3, 1)",3,VAZIO,VAZIO,PAREDE,PAREDE,SEM CARGA
G,"(3, 1)",0,VAZIO,VAZIO,PAREDE,PAREDE,SEM CARGA
G,"(3, 1)",1,VAZIO,VAZIO,PAREDE,PAREDE,SEM CARGA
A,"(3, 2)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(3, 3)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(3, 4)",1,PAREDE,VAZIO,PAREDE,VAZIO,SEM CARGA
A,"(3, 5)",1,PAREDE,PAREDE,VAZIO,VAZIO,SEM CARGA
G,"(3, 5)",2,PAREDE,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(4, 5)",2,VAZIO,PAREDE,VAZIO,PAREDE,SEM CARGA
A,"(5, 5)",2,VAZIO,PAREDE,VAZIO,VAZIO,SEM CARGA
A,"(6, 5)",2,VAZIO,PAREDE,HUMANO,PAREDE,SEM CARGA
INFO,"(6, 5)",2,"Humano encontrado, iniciando coleta",SEM CARGA
P,"(6, 5)",2,VAZIO,PAREDE,VAZIO,PAREDE,COM HUMANO
INFO,"(6, 5)",2,Humano coletado,COM HUMANO
INFO,"(6, 5)",2,"Humano coletado, retornando a saida",COM HUMANO
INFO,"(6, 5)",2,"Iniciando execução do caminho: [(6, 5), (5, 5), (4, 5), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1), (2, 1), (1, 1), (1, 2), (1, 3), (0, 3)]",SEM CARGA
G,"(6, 5)",3,VAZIO,PAREDE,VAZIO,PAREDE,COM HUMANO
G,"(6, 5)",0,VAZIO,PAREDE,VAZIO,PAREDE,COM HUMANO
A,"(5, 5)",0,VAZIO,PAREDE,VAZIO,VAZIO,COM HUMANO
A,"(4, 5)",0,VAZIO,PAREDE,VAZIO,PAREDE,COM HUMANO
A,"(3, 5)",0,PAREDE,PAREDE,VAZIO,VAZIO,COM HUMANO
G,"(3, 5)",1,PAREDE,PAREDE,VAZIO,VAZIO,COM HUMANO
G,"(3, 5)",2,PAREDE,PAREDE,VAZIO,VAZIO,COM HUMANO
G,"(3, 5)",3,PAREDE,PAREDE,VAZIO,VAZIO,COM HUMANO
A,"(3, 4)",3,PAREDE,VAZIO,PAREDE,VAZIO,COM HUMANO
A,"(3, 3)",3,PAREDE,VAZIO,PAREDE,VAZIO,COM HUMANO
A,"(3, 2)",3,PAREDE,VAZIO,PAREDE,VAZIO,COM HUMANO
A,"(3, 1)",3,VAZIO,VAZIO,PAREDE,PAREDE,COM HUMANO
G,"(3, 1)",0,VAZIO,VAZIO,PAREDE,PAREDE,COM HUMANO
A,"(2, 1)",0,VAZIO,PAREDE,VAZIO,PAREDE,COM HUMANO
A,"(1, 1)",0,PAREDE,VAZIO,VAZIO,PAREDE,COM HUMANO
G,"(1, 1)",1,PAREDE,VAZIO,VAZIO,PAREDE,COM HUMANO
A,"(1, 2)",1,PAREDE,VAZIO,PAREDE,VAZIO,COM HUMANO
A,"(1, 3)",1,VAZIO,VAZIO,PAREDE,VAZIO,COM HUMANO
G,"(1, 3)",2,VAZIO,VAZIO,PAREDE,VAZIO,COM HUMANO
G,"(1, 3)",3,VAZIO,VAZIO,PAREDE,VAZIO,COM HUMANO
G,"(1, 3)",0,VAZIO,VAZIO,PAREDE,VAZIO,COM HUMANO
A,"(0, 3)",0,PAREDE,PAREDE,VAZIO,PAREDE,COM HUMANO
E,"(0, 3)",0,PAREDE,PAREDE,VAZIO,PAREDE,SEM CARGA
